Id,Label,InDegree,OutDegree
226416354,unknown,0,2
298800509,unknown,0,1
232047017,2,0,1
209047972,unknown,1,1
378497715,unknown,1,1
209047974,unknown,1,1
238196142,unknown,1,0
156153729,unknown,1,1
339111968,unknown,1,1
2772619,unknown,1,1
70766621,unknown,0,2
294317643,unknown,1,1
70370656,1,1,0
294317647,unknown,1,1
92059758,unknown,1,0
92084704,unknown,1,1
16177379,unknown,1,0
272316941,unknown,1,1
272316944,unknown,1,2
198743225,unknown,1,1
70766618,unknown,0,1
339111959,unknown,1,1
325390370,2,1,0
218148730,unknown,0,1
294317655,unknown,1,1
339111963,unknown,1,1
294317659,unknown,1,1
218148737,unknown,0,1
325904139,unknown,0,1
209047955,unknown,1,1
363076024,unknown,1,1
306161435,unknown,1,0
272316949,unknown,0,2
209047959,unknown,1,1
306161437,unknown,1,1
294317650,unknown,1,1
234855457,2,1,0
272316952,unknown,1,1
209047994,unknown,1,2
272316954,2,5,1
272316956,unknown,1,2
357734443,unknown,1,1
238196121,unknown,1,1
357734444,unknown,1,1
218148717,unknown,0,1
362992769,unknown,0,2
143383029,unknown,0,1
279967143,unknown,1,1
294317666,unknown,1,1
94865535,2,1,0
199997428,unknown,1,1
218148723,2,0,2
357734442,unknown,2,1
232361286,2,2,2
339086415,2,1,0
198743218,unknown,1,1
306161448,unknown,1,0
294317662,unknown,1,1
53779745,2,0,2
224739275,unknown,1,2
245659809,2,1,0
199997431,unknown,1,1
156128760,unknown,1,1
226730568,unknown,1,0
92084710,unknown,1,2
15383832,unknown,0,1
163709725,unknown,1,0
232361296,2,1,1
294317670,unknown,1,1
163709728,unknown,0,2
112545791,2,1,0
163709729,2,0,1
367402089,unknown,0,1
294317674,unknown,1,1
238196182,unknown,1,1
54912983,2,1,0
238196188,unknown,1,1
246096951,unknown,1,1
234698076,unknown,0,1
232072012,unknown,1,2
294317687,unknown,1,1
218148788,unknown,0,1
246096948,unknown,1,1
14199065,unknown,2,1
14199066,unknown,2,1
209047925,unknown,0,1
119800407,unknown,1,1
294317683,unknown,1,2
218148782,unknown,0,1
82507349,unknown,1,0
309932685,unknown,0,5
299055274,unknown,1,1
234855403,unknown,1,1
238196172,unknown,1,1
232072009,2,1,1
16716166,2,0,1
238196178,unknown,1,1
234698066,unknown,0,1
246096958,unknown,1,1
78144215,1,1,0
49969931,unknown,1,1
294317692,unknown,1,1
124707515,unknown,1,1
299055271,unknown,1,1
325904144,unknown,1,1
166073030,unknown,1,2
325904145,unknown,1,1
86740603,unknown,1,2
272473799,unknown,1,1
86740605,unknown,1,2
272316911,unknown,1,2
166073035,unknown,1,1
166073037,unknown,1,1
382885900,2,0,1
238196168,unknown,1,0
382885904,unknown,1,0
325904141,unknown,1,0
288290396,unknown,1,1
10488964,unknown,1,1
218148768,unknown,0,1
69439512,unknown,0,2
282983439,2,1,1
72705395,2,0,1
325904154,unknown,1,1
325904157,unknown,1,2
376267718,unknown,0,2
54780509,unknown,0,2
209047942,unknown,0,1
232072021,unknown,2,1
246096942,unknown,1,1
29197257,2,0,1
246096938,unknown,1,2
310235415,2,2,1
209047935,unknown,1,2
234855421,unknown,1,1
59650535,2,1,1
29511831,unknown,1,1
29197267,unknown,1,0
288290454,2,1,1
98759673,2,15,0
15094626,unknown,0,1
84341231,unknown,1,2
378640549,unknown,1,0
217604757,2,1,1
382885899,unknown,0,1
245777042,unknown,1,1
163866509,unknown,1,0
288290464,unknown,1,1
163866501,unknown,1,0
55731398,unknown,0,1
113822741,unknown,1,2
331537569,unknown,0,1
95277643,2,1,12
95277603,unknown,1,1
163866516,unknown,1,0
155741638,unknown,1,2
392974545,unknown,0,1
199997388,2,0,1
327042537,unknown,1,1
390061828,unknown,0,1
91961902,unknown,0,1
218016803,unknown,0,1
209493918,unknown,0,1
210504800,unknown,1,1
238196190,unknown,1,1
238196191,2,1,1
299187154,2,0,1
118271139,unknown,1,1
238510781,unknown,1,1
238196194,2,2,1
331537545,2,1,2
238196196,unknown,2,0
91961904,unknown,2,1
228276825,unknown,1,1
320206702,unknown,1,1
218016806,2,1,1
91961909,unknown,1,1
5965565,unknown,0,21
298775078,unknown,0,1
218016813,unknown,0,2
2169255,unknown,0,1
230540223,unknown,2,1
226587860,unknown,1,2
54755613,unknown,1,1
118271149,unknown,1,1
331537530,2,1,2
134257279,unknown,1,1
193045908,2,2,0
382885844,unknown,0,1
382885846,unknown,1,1
382885847,unknown,0,1
155716692,unknown,1,0
382885849,unknown,0,1
164710543,1,1,1
73406577,unknown,0,1
63474816,unknown,1,1
118271151,unknown,1,1
155741650,unknown,1,1
40495756,unknown,1,0
331537524,2,1,3
302638399,unknown,1,0
294317615,unknown,1,1
288290423,2,1,1
37925917,unknown,4,0
230540205,unknown,1,2
230540206,2,0,1
230540207,2,0,2
98784606,unknown,1,1
378194005,unknown,1,2
76469729,unknown,1,1
378194007,unknown,1,1
98784601,unknown,3,0
294317620,unknown,1,1
94890401,2,6,0
294317624,unknown,1,0
94890405,2,0,3
331537514,2,1,2
63474831,unknown,1,1
331537518,2,1,3
76469733,2,0,1
294317639,unknown,0,1
288290436,unknown,1,2
73406581,unknown,1,1
73406582,unknown,1,1
168183083,2,1,0
43123637,unknown,0,1
331537505,2,1,2
96410834,unknown,1,1
9713059,unknown,1,0
54755610,unknown,0,1
71428382,unknown,1,1
71428383,unknown,1,1
339375727,unknown,1,1
98902272,unknown,0,1
218016868,unknown,1,2
299069812,unknown,1,1
210636771,1,1,0
121130672,unknown,1,0
151822613,unknown,1,3
327620982,2,1,0
20119448,unknown,1,0
98902280,unknown,0,1
218016873,unknown,0,2
240789881,unknown,1,0
98902289,unknown,1,1
16202892,unknown,1,1
209875473,unknown,0,1
218016872,unknown,0,1
6113865,2,1,0
94194889,unknown,2,1
96649534,unknown,0,1
98902291,unknown,0,1
73142424,unknown,1,0
184062392,2,1,0
98902299,unknown,0,1
195550375,unknown,1,1
148831277,unknown,1,2
218016880,unknown,0,2
337818812,unknown,3,0
29932934,unknown,1,1
94194896,2,0,1
259930096,2,1,1
301227016,unknown,1,0
13248829,unknown,0,1
163720183,unknown,1,1
294210820,unknown,1,1
61797754,unknown,1,1
30078307,unknown,0,1
210636785,2,1,0
105779191,2,0,1
65256209,unknown,1,1
168158046,unknown,1,1
218016819,2,0,1
378326277,unknown,1,1
209179808,2,1,1
218016822,2,0,1
114655964,unknown,0,1
94155267,unknown,0,1
218016824,unknown,0,2
54887344,2,1,3
390061885,unknown,0,2
218016826,unknown,0,1
123599272,unknown,0,1
191381852,unknown,1,1
191381858,unknown,0,2
98902246,unknown,1,0
390061871,unknown,0,1
73142419,unknown,1,0
166651394,unknown,1,1
155559295,unknown,2,1
185894973,unknown,1,1
234723533,unknown,1,1
331537596,2,1,3
13273810,unknown,0,2
331537599,unknown,1,0
355215275,2,1,1
355215277,unknown,1,1
346114586,unknown,0,2
13234252,unknown,0,1
390061867,unknown,0,2
185880332,unknown,1,1
98902250,unknown,0,2
174776289,unknown,1,1
346114581,unknown,1,0
218016847,unknown,1,1
234723530,unknown,0,1
205285600,unknown,1,2
84869137,2,1,0
355215282,unknown,1,1
355215285,2,1,1
331537588,2,1,2
94312679,2,0,1
80001213,unknown,1,1
210622101,unknown,2,1
218016851,unknown,0,2
105779151,unknown,0,1
94708789,unknown,1,1
218016855,unknown,1,1
177994191,unknown,0,1
198889667,unknown,0,1
98902267,unknown,1,2
218016858,unknown,0,1
310103638,unknown,1,2
98902269,unknown,0,2
48269394,unknown,1,1
232650503,unknown,1,1
272316894,unknown,1,1
3880217,2,0,2
183035067,unknown,0,1
218291016,unknown,1,1
232650508,unknown,0,1
96674597,2,0,2
96674599,2,0,1
13209078,unknown,0,1
67643414,unknown,1,2
64136420,unknown,1,1
67643416,unknown,1,0
105779144,unknown,0,1
17863556,unknown,1,0
67643419,unknown,1,1
3880228,2,1,1
43649029,2,2,0
235845796,unknown,1,1
73117519,unknown,1,0
207092187,2,1,0
205667283,unknown,1,1
105779133,unknown,0,1
234566329,2,2,1
70791540,unknown,0,1
10474463,unknown,0,1
314129615,unknown,0,1
230397493,unknown,0,1
235845783,unknown,1,1
96963538,2,2,1
224211277,unknown,1,1
161492166,unknown,0,1
13209098,unknown,0,1
175489648,unknown,1,1
210636827,1,1,0
230397485,unknown,1,2
306004787,unknown,0,1
98652876,unknown,2,1
105779116,unknown,1,2
234566340,unknown,1,2
98652880,2,4,0
51537691,unknown,1,0
175489641,unknown,1,1
43412797,unknown,2,1
272316850,unknown,1,1
175500535,unknown,0,1
12679231,unknown,0,2
12679233,unknown,1,2
9845083,unknown,0,6
65677172,unknown,1,4
272316855,unknown,1,1
12679235,unknown,1,2
72705215,2,0,1
272316857,unknown,1,1
238196220,unknown,1,1
92755278,unknown,1,1
105779109,2,2,1
163734651,unknown,1,2
218016788,unknown,0,2
92755270,unknown,0,1
231253425,2,3,0
163734658,unknown,1,2
71428223,unknown,1,1
218016782,unknown,0,2
131617960,unknown,1,1
218016784,unknown,0,2
272316867,unknown,1,1
15251959,unknown,1,2
272762898,unknown,1,1
12679238,2,1,2
339086369,unknown,1,1
107731000,unknown,1,0
372530960,unknown,0,1
12679210,unknown,1,1
70791525,unknown,0,2
218291039,unknown,1,1
158672804,unknown,1,0
12401126,2,0,6
380209816,2,1,0
218555006,unknown,1,1
255472100,unknown,1,0
119222131,2,1,0
210504793,unknown,1,1
12679207,unknown,1,1
210504795,unknown,1,1
218291041,unknown,1,1
210504797,unknown,1,1
70791531,2,0,1
218291044,unknown,1,2
230422929,unknown,0,2
175500526,unknown,0,2
12679222,2,0,1
12679224,unknown,1,2
372530947,unknown,0,1
272316880,unknown,1,1
114498409,2,0,1
12679219,unknown,1,1
218291030,unknown,1,1
230540192,unknown,1,2
12679274,2,1,1
314825086,unknown,1,1
230540196,2,7,1
12679279,unknown,1,2
69753778,unknown,1,1
92059869,unknown,1,1
193070992,unknown,1,0
331537614,unknown,0,1
126842525,unknown,0,1
69753782,unknown,1,1
69753765,unknown,1,1
71703030,unknown,1,1
331537600,unknown,2,2
200665481,unknown,0,2
64161444,unknown,0,1
232900132,unknown,1,1
210504783,unknown,1,1
234855564,2,67,0
12679252,unknown,1,1
272316830,unknown,1,1
269168266,unknown,1,0
12679250,2,1,2
272145106,2,0,2
96385319,unknown,1,0
12679263,2,1,2
2194390,unknown,1,1
225333596,unknown,1,0
167077935,2,1,1
54741023,unknown,1,1
310499252,2,1,0
12679260,unknown,1,1
312898511,unknown,0,2
221821096,unknown,1,0
18407726,2,1,0
221821097,unknown,1,0
272316848,unknown,1,1
199287307,unknown,1,1
272145118,unknown,3,1
306161579,unknown,1,1
271326657,unknown,0,1
225333583,unknown,0,1
198743156,unknown,1,1
92070225,unknown,0,1
166073137,unknown,1,1
232782148,unknown,1,0
246057225,unknown,1,1
163866492,unknown,1,0
63474770,unknown,1,1
198743147,unknown,1,2
98652897,2,1,1
310499230,unknown,2,1
86583133,unknown,0,1
21541267,unknown,1,0
9463609,unknown,1,3
158319076,2,0,2
213817607,unknown,1,0
390350907,unknown,0,2
198743134,unknown,1,1
12679292,unknown,1,1
92084891,unknown,1,1
12679295,unknown,1,2
246096802,unknown,1,2
314839662,2,1,0
246096806,unknown,1,1
92084888,unknown,1,1
77600107,unknown,1,2
54780625,unknown,0,1
269168232,unknown,0,1
158319069,unknown,1,0
97111900,2,0,1
54741069,unknown,0,1
86583111,unknown,0,2
246096812,unknown,1,1
246096817,unknown,1,1
314839655,unknown,1,0
81149914,unknown,0,2
294317590,unknown,1,1
378233939,unknown,1,2
49798043,unknown,1,7
2419045,unknown,1,0
94194702,2,1,1
272762902,unknown,1,1
13430915,unknown,2,1
69728846,unknown,0,1
73431460,unknown,1,0
272762906,unknown,1,1
272762907,unknown,1,1
72862320,unknown,1,1
73431446,unknown,1,1
94194711,unknown,0,1
94169756,unknown,6,11
331562669,unknown,1,1
368813353,unknown,0,1
73249304,2,1,0
310103579,unknown,0,1
39313952,unknown,0,1
368813356,unknown,0,1
73959315,unknown,1,0
355240156,unknown,1,0
27834930,unknown,0,1
94576282,2,1,1
294210791,unknown,1,1
331537670,unknown,0,1
190930295,unknown,1,2
110051656,unknown,1,1
94576276,2,1,1
331537662,unknown,2,1
271615644,unknown,2,0
209718450,unknown,1,0
33703039,unknown,0,1
104659712,unknown,1,1
43123713,unknown,0,1
383006877,unknown,1,1
54716124,unknown,0,1
99999088,unknown,1,0
13851967,unknown,1,1
206222134,2,0,2
230515113,unknown,1,2
174776306,unknown,1,1
299344296,unknown,1,0
43123720,unknown,0,1
100670595,unknown,0,1
16202904,unknown,1,0
362992662,unknown,0,1
57659099,unknown,1,3
236137990,2,1,0
382885977,unknown,0,3
230515103,unknown,1,0
240643664,unknown,1,1
382885972,unknown,0,2
382885974,unknown,0,4
382885975,unknown,2,3
65256184,unknown,1,0
219545546,unknown,1,0
95552200,unknown,1,1
62327797,unknown,1,1
62327798,2,1,0
174776327,unknown,1,1
191800648,unknown,1,1
350056264,unknown,1,1
208924975,unknown,0,1
314825094,unknown,1,1
69714224,unknown,0,1
139259153,unknown,1,1
336432210,unknown,1,0
106637958,2,0,1
246503833,unknown,1,1
115185117,unknown,1,1
164107008,2,1,0
139259150,unknown,2,0
106780076,unknown,1,0
12572461,unknown,1,1
246189018,2,2,0
12572465,unknown,1,0
336432200,unknown,1,1
336432201,unknown,1,1
92491280,2,1,1
336432202,unknown,1,1
13248726,unknown,0,1
336432203,unknown,1,1
106070047,unknown,1,0
336432204,unknown,1,0
272723360,unknown,1,1
92491279,2,1,1
269455024,unknown,1,1
5294829,unknown,1,1
272723356,unknown,1,1
106070040,unknown,1,0
218016765,unknown,0,1
106070043,unknown,1,0
29065203,2,0,3
106070045,unknown,1,0
2351477,unknown,1,2
96674605,2,0,2
5519650,unknown,0,4
2615860,unknown,0,1
5519652,unknown,1,6
5519655,unknown,1,1
106070026,unknown,1,0
218016775,2,0,2
106070031,unknown,1,0
218016779,unknown,0,2
218016770,2,1,2
106780042,unknown,2,0
226441344,unknown,1,1
16070301,unknown,1,0
259366513,unknown,1,1
363522620,unknown,1,1
106070015,unknown,1,0
226441341,unknown,1,2
208910380,2,0,1
95552278,unknown,1,0
174776383,2,1,0
106780032,unknown,2,1
139259125,unknown,1,2
55863049,unknown,0,1
173522256,unknown,1,1
97243707,unknown,0,1
106070007,unknown,1,0
108050837,unknown,1,0
106780027,unknown,3,1
339650369,unknown,2,1
33453300,unknown,0,1
33453302,2,1,1
12572457,unknown,1,1
94194725,2,1,1
14932127,unknown,0,1
12572459,unknown,1,5
300590207,unknown,0,1
106070000,unknown,1,0
94155160,unknown,1,2
94194732,2,0,2
12572446,unknown,1,1
334794960,unknown,1,1
244694300,unknown,0,2
363522612,2,4,0
245802542,unknown,3,0
115895575,unknown,0,1
299330003,unknown,1,0
98613387,unknown,1,1
65677012,unknown,1,1
92309155,unknown,1,1
86583067,unknown,1,1
52393430,unknown,1,1
98902556,2,1,4
98902558,2,1,2
101200693,unknown,1,0
226441556,unknown,1,1
372530802,unknown,0,1
27663010,unknown,13,2
52143952,unknown,1,1
98902560,2,0,1
245238604,unknown,1,1
98902568,unknown,1,1
92598242,unknown,0,1
3889,unknown,0,50
3880117,2,2,0
226441566,unknown,1,1
70791449,2,0,1
226441569,unknown,1,2
98902571,unknown,1,1
29368933,unknown,0,1
98902573,unknown,1,1
375434480,unknown,1,0
138715370,2,0,1
16780529,unknown,1,2
385971698,unknown,1,2
248023843,unknown,1,1
31630166,unknown,1,1
70791439,unknown,0,2
68462262,unknown,1,0
378497540,unknown,1,1
68462266,2,0,2
378497544,unknown,1,1
3170350,unknown,1,5
306268505,unknown,1,1
376267592,unknown,0,2
25014650,unknown,1,0
98902589,unknown,0,1
385971694,unknown,1,2
163720373,2,1,2
206550981,unknown,1,1
31630158,unknown,1,1
100067099,unknown,3,0
55731612,unknown,1,0
196263904,unknown,1,1
90550190,unknown,1,1
155559562,unknown,2,1
140047778,unknown,2,1
347550863,2,126,0
155559565,unknown,1,1
155559568,2,0,1
98902513,2,1,2
240789712,unknown,1,1
98902517,2,0,2
98902519,2,0,2
147027853,unknown,1,1
121801020,unknown,0,1
312898658,unknown,0,2
549558,2,0,2
27677611,2,0,3
27677612,2,2,0
31380194,unknown,0,1
121551417,unknown,0,1
27663008,unknown,1,4
224764000,unknown,1,2
86583084,unknown,1,1
95698853,unknown,0,1
19263569,2,0,2
157789594,2,1,0
224764006,2,1,1
54309399,unknown,1,1
121801018,unknown,15,1
3409584,unknown,0,1
98902539,unknown,1,1
372530821,unknown,0,2
86583073,unknown,1,2
310510253,unknown,2,0
86583077,unknown,1,1
97507875,unknown,1,0
98902543,unknown,1,2
121801002,unknown,1,0
98902544,unknown,1,1
98902546,unknown,1,1
391142184,unknown,1,0
77600010,2,0,1
86740866,unknown,1,2
200968946,2,1,0
230647313,2,2,2
363233533,unknown,1,2
339072039,unknown,1,1
94601636,unknown,1,0
38901603,unknown,1,1
73249494,2,1,0
38901606,unknown,1,1
85015118,unknown,11,0
94419256,2,0,1
230647320,2,1,1
86740859,unknown,1,2
115920751,unknown,1,2
246057156,unknown,0,2
246057158,unknown,1,1
95698857,unknown,0,1
200968950,unknown,1,0
27545839,unknown,0,1
107588428,unknown,0,1
69596116,unknown,2,1
229634330,unknown,1,1
95277363,unknown,1,1
94419251,2,0,1
191224781,unknown,1,0
230647332,unknown,2,1
339072013,unknown,0,2
198322047,unknown,0,1
163734913,unknown,1,2
172032800,2,0,1
8857392,unknown,0,1
191224770,unknown,1,2
234855211,unknown,1,0
65388234,unknown,1,1
273147645,2,2,0
86740877,unknown,1,2
269168155,unknown,0,1
246057174,2,1,1
96688823,unknown,1,2
125144759,unknown,1,0
184747395,unknown,1,1
3566346,unknown,1,26
17706893,unknown,0,1
191224766,unknown,2,1
209033101,unknown,1,1
156153945,unknown,1,1
200665101,unknown,0,1
38901611,unknown,1,1
86740880,unknown,1,1
38901613,unknown,1,1
86740881,2,0,1
73406856,unknown,0,1
378497516,unknown,1,1
73406857,unknown,1,1
378497518,unknown,1,1
156153926,unknown,1,1
195550633,unknown,1,1
225019656,unknown,0,1
310499362,2,1,0
225019658,unknown,1,2
224739029,unknown,1,1
121262636,unknown,1,2
156153934,unknown,1,1
202932695,2,1,1
225019651,unknown,1,2
299080479,unknown,1,2
92084506,unknown,1,1
115724195,unknown,1,1
92084509,unknown,1,1
20408922,unknown,0,1
156153918,unknown,1,2
163734928,unknown,1,1
121262647,unknown,1,2
130691740,unknown,2,0
12836412,unknown,0,1
163734922,unknown,1,2
121262643,unknown,1,1
225715284,unknown,0,2
225715285,unknown,0,1
113690292,unknown,1,2
225715286,unknown,0,1
70766407,unknown,0,2
68765600,unknown,1,1
225715281,unknown,1,1
225715282,2,1,2
225715283,unknown,0,1
92084520,unknown,1,1
121262656,unknown,1,1
156153910,unknown,1,2
157657277,unknown,1,0
3880150,2,1,1
209047703,unknown,1,1
121262651,unknown,1,1
209047708,unknown,1,2
65873914,unknown,1,1
225715274,unknown,0,1
225715275,2,1,1
225715276,unknown,0,1
225715277,unknown,0,1
225715278,unknown,0,1
225715279,unknown,0,1
230515089,2,0,2
238196395,unknown,1,1
225019665,unknown,1,2
3880165,2,1,0
282419902,unknown,1,1
91647948,unknown,1,1
225019668,unknown,0,1
225715271,unknown,0,1
225715272,2,0,2
76480247,unknown,1,1
92084512,unknown,1,1
225019660,unknown,1,2
92084514,unknown,1,1
137898980,unknown,1,1
225019662,unknown,1,2
206550923,unknown,0,1
121262662,unknown,1,2
121262664,unknown,1,1
7642410,2,0,2
92755519,unknown,1,0
13366150,unknown,1,1
300579715,unknown,1,0
94155463,unknown,1,1
87402418,2,2,1
234184634,unknown,0,1
163866733,unknown,1,0
155452699,unknown,0,1
68608756,unknown,1,1
336432170,2,2,2
312477273,2,1,0
68608759,unknown,1,1
219964187,unknown,1,1
336432166,unknown,2,2
336432167,unknown,1,0
249118198,unknown,22,0
27531277,unknown,1,1
13366159,2,1,0
68608761,unknown,1,1
219964182,unknown,1,0
336432161,unknown,1,0
336432197,unknown,1,0
336432198,unknown,4,1
331562312,unknown,2,3
102008801,unknown,1,1
155741876,unknown,1,1
336471758,unknown,1,0
15069406,unknown,1,1
137056982,2,1,0
43831415,unknown,1,0
108985220,unknown,1,0
336471764,unknown,1,1
336432191,unknown,1,1
378169254,unknown,1,2
13366181,unknown,1,0
121262624,unknown,1,1
336471750,2,1,0
294210669,unknown,0,1
236123655,unknown,1,1
121262621,unknown,1,1
84316588,unknown,0,1
113822555,unknown,1,2
84316582,2,0,1
87823192,unknown,1,0
87823193,unknown,1,1
87823194,unknown,1,0
312502764,unknown,1,1
244694276,unknown,0,2
148845691,2,1,1
89054177,unknown,1,1
87823196,unknown,1,1
234159633,unknown,1,2
138911975,unknown,1,1
87823197,unknown,1,1
3762827,2,1,1
312502768,unknown,1,1
234159635,unknown,1,1
148845696,2,1,1
94312498,unknown,1,1
155741886,unknown,1,1
157946974,2,0,1
246057197,unknown,1,1
246057199,unknown,0,2
115920677,2,0,1
244694282,unknown,0,2
312502750,unknown,1,1
94708923,unknown,1,0
312502758,unknown,1,1
271326795,unknown,0,1
36685785,2,5,1
42265221,unknown,1,1
69728999,unknown,1,1
163866795,2,1,1
89054154,2,0,2
3302634,unknown,1,0
312502746,unknown,1,2
378194239,unknown,1,2
339111819,unknown,1,1
269168196,unknown,1,1
188691533,unknown,0,1
98745292,unknown,1,0
310681616,2,1,1
7642403,2,0,4
339111814,unknown,1,1
12297609,unknown,2,0
3762812,unknown,1,4
216496491,unknown,0,1
244694267,2,1,1
94155455,unknown,1,1
47581276,unknown,0,1
68608704,unknown,1,2
156246124,unknown,1,0
232650109,unknown,0,2
98652906,2,1,1
84316549,unknown,0,2
295885864,unknown,9,0
156535096,unknown,2,1
73103080,unknown,1,2
117834270,unknown,0,1
32477881,unknown,2,1
32477882,unknown,2,1
98652900,2,0,1
32477883,unknown,2,1
32477874,unknown,1,1
32477875,unknown,2,1
32477876,unknown,2,1
32477877,unknown,2,1
32477878,unknown,3,1
32477879,unknown,2,1
121801077,unknown,1,0
97072072,unknown,1,1
100802881,unknown,4,0
43098012,unknown,6,1
134860979,unknown,0,1
43098015,unknown,1,2
355215463,2,1,1
148410197,unknown,1,0
33428696,1,1,1
2865010,2,4,1
43123412,2,0,1
209718715,unknown,0,1
148831001,unknown,1,1
93757503,unknown,1,3
50429934,unknown,1,0
69621550,unknown,1,1
89921710,unknown,0,1
98652926,unknown,2,1
94312489,unknown,1,1
355215472,unknown,1,1
152391750,unknown,1,1
72705513,unknown,1,1
355215474,2,1,1
72705514,unknown,1,1
294460108,unknown,1,4
94312484,unknown,1,1
108578383,unknown,1,1
121801051,unknown,1,0
47424396,2,0,1
50429923,2,1,0
549581,2,1,5
71467736,unknown,1,2
15069499,2,0,1
98652919,2,1,1
14932456,unknown,1,1
63185463,unknown,1,1
63185467,unknown,1,1
378640365,2,3,0
63185469,unknown,1,1
98652912,2,1,1
98652913,2,1,1
32477885,unknown,2,1
32477887,unknown,2,0
241501980,unknown,0,2
63185471,unknown,1,1
43123438,2,0,1
196094084,unknown,1,1
8989134,unknown,1,2
234170023,unknown,1,1
163063970,unknown,1,1
298682651,unknown,0,1
68462176,2,0,1
299344573,unknown,1,0
39577760,unknown,2,1
94733953,unknown,11,6
73142644,unknown,1,1
94733954,unknown,3,0
382885687,unknown,6,1
382885689,unknown,13,2
119550963,unknown,1,1
98902477,unknown,1,1
73142649,2,2,1
98902479,unknown,0,1
8989131,unknown,1,2
240789678,unknown,1,1
163288081,unknown,1,0
87823118,unknown,1,1
29065581,unknown,0,1
8989133,unknown,1,2
84316515,2,0,1
298682644,unknown,0,1
327713311,unknown,0,1
298682649,unknown,0,2
265129246,unknown,0,1
155716860,2,0,1
98902481,unknown,1,1
234566367,2,0,1
390061638,unknown,0,1
209033088,unknown,0,1
234566369,unknown,1,2
240789680,unknown,1,1
98902484,unknown,0,1
240789681,unknown,1,1
98902486,unknown,0,2
97086655,unknown,1,1
8989140,2,1,0
382885690,unknown,0,3
382885692,unknown,1,6
8989113,2,1,0
210622350,unknown,1,2
234566370,2,1,1
288818918,unknown,1,0
75729088,2,1,0
190905384,unknown,1,1
310510301,2,1,0
201038180,unknown,1,1
8989128,2,4,0
346100191,2,1,2
8989129,unknown,1,2
94733959,unknown,6,0
27531298,unknown,1,1
75729094,unknown,2,1
56601883,unknown,0,1
43123486,unknown,1,1
190905373,unknown,1,1
288593952,unknown,1,1
59796703,unknown,0,1
94733964,unknown,9,5
9149180,unknown,5,0
73142636,unknown,2,2
9149183,unknown,1,5
163866724,unknown,1,0
346100196,2,1,2
87823127,unknown,1,1
87823128,unknown,1,0
282537659,unknown,1,1
8989122,unknown,1,2
8343537,unknown,1,0
68462133,2,0,2
298946653,unknown,1,1
98902437,unknown,0,2
98902438,unknown,1,2
68462120,unknown,1,0
272723088,unknown,1,1
13234262,unknown,1,2
45786356,2,1,1
348358876,unknown,1,1
312188322,unknown,1,0
98902442,unknown,0,1
