Source,Target
199997388,200471097
327042537,306356930
390061828,390536748
91961902,91961924
218016803,218121518
209493918,210943575
210504800,209905811
238196190,238196168
238196191,238264400
299187154,299338864
118271139,88648257
238510781,238616187
238196194,242490894
331537545,363364309
331537545,363359912
91961904,94557511
228276825,96656379
320206702,372810441
218016806,218121521
91961909,47274561
5965565,76820610
5965565,194315731
5965565,114362759
5965565,194321967
5965565,159417982
5965565,123148866
5965565,191865055
5965565,170847465
5965565,157886930
5965565,157595759
5965565,158577155
5965565,194326090
5965565,158577170
5965565,188759299
5965565,150391411
5965565,106877725
5965565,165093069
5965565,158581014
5965565,159146426
5965565,151134470
5965565,161422725
298775078,299075099
218016813,70958108
218016813,218468513
2169255,13646
230540223,230540579
226587860,226606066
226587860,179050431
54755613,70367059
118271149,121505846
331537530,363414652
331537530,336437275
134257279,199941762
382885844,381159290
382885846,381159290
382885847,381159290
382885849,381159290
164710543,181163926
73406577,73405590
63474816,139270295
118271151,9001897
155741650,155741876
331537524,363435432
331537524,363434992
331537524,363341720
294317615,294317620
288290423,248763642
230540205,232608734
230540205,230540196
230540206,230540196
230540207,230439799
230540207,230540196
98784606,98784601
378194005,378194007
378194005,378336773
76469729,114504539
378194007,378194239
294317620,294317624
94890405,94292243
94890405,94890401
94890405,93937912
331537514,363435422
331537514,363376263
63474831,246062899
331537518,332771446
331537518,336457471
331537518,332690011
76469733,114689985
294317639,294317643
288290436,288382624
288290436,288403934
73406581,73405590
73406582,73405590
43123637,43537842
331537505,53535414
331537505,336435640
96410834,96448510
54755610,54755613
71428382,121462253
71428383,121504157
339375727,339473644
98902272,99845173
218016868,218263297
218016868,31892112
299069812,299187931
151822613,272333461
151822613,272147248
151822613,272437190
98902280,114011098
218016873,218263297
218016873,218268455
98902289,99133134
16202892,16211397
209875473,210701915
218016872,218016868
94194889,94194903
96649534,97732189
98902291,98902289
98902299,99133141
195550375,195440510
148831277,151254726
148831277,44503862
218016880,218402753
218016880,218266785
29932934,195583667
94194896,94194889
259930096,310523443
13248829,12799559
163720183,163901553
294210820,294465808
61797754,232956949
30078307,30699343
105779191,106307477
65256209,54918224
168158046,163685461
218016819,218121627
378326277,378596987
209179808,202552696
218016822,218266550
114655964,114655562
94155267,94343591
218016824,218573519
218016824,218017482
54887344,54888229
54887344,55939055
54887344,70371756
390061885,390511157
390061885,390383324
218016826,218153352
123599272,232393326
191381852,189798497
191381858,191382090
191381858,190086107
390061871,390142509
166651394,18666913
155559295,152452277
185894973,179127729
234723533,234896846
331537596,82005403
331537596,331582626
331537596,331537599
13273810,38409253
13273810,12678396
355215275,80574245
355215277,331617007
346114586,347550863
346114586,346114581
13234252,13234262
390061867,390867381
390061867,390063329
185880332,66107040
98902250,98961070
98902250,98902246
174776289,174776296
218016847,218121874
234723530,234723533
205285600,390586748
205285600,390425561
355215282,204221638
355215285,355236982
331537588,336493130
331537588,331966682
94312679,91961924
80001213,118274449
210622101,210365157
218016851,218035926
218016851,218016847
105779151,106761612
94708789,24997827
218016855,218121885
177994191,224289570
198889667,355124164
98902267,99206714
98902267,99854200
218016858,218016855
310103638,310472132
310103638,310146561
98902269,98902367
98902269,98902267
48269394,68588912
232650503,232654975
272316894,90465833
3880217,232425029
3880217,3880228
183035067,224204305
218291016,218290720
232650508,75605400
96674597,97481191
96674597,96674330
96674599,96674330
13209078,13379719
67643414,67643266
67643414,70047751
64136420,64868060
105779144,106300458
67643419,67643416
3880228,232438397
235845796,172810899
205667283,139631688
105779133,106847281
234566329,102483523
70791540,73044637
10474463,29197707
314129615,378346583
230397493,232910227
235845783,235129801
96963538,1255926
224211277,108771599
161492166,149823959
13209098,12780176
175489648,175489830
230397485,232473204
230397485,230397187
306004787,363065311
98652876,94282700
105779116,106321173
105779116,106293470
234566340,71390499
234566340,235441950
175489641,175489648
43412797,43429184
272316850,272316911
175500535,175791430
12679231,12679224
12679231,26587861
12679233,12786593
12679233,13619961
9845083,196398158
9845083,16993937
9845083,120609415
9845083,104000053
9845083,35628304
9845083,194376117
65677172,113979460
65677172,99679765
65677172,102591599
65677172,34144728
272316855,272338984
12679235,13381633
12679235,12679233
72705215,35202200
272316857,272463582
238196220,245616611
92755278,96378076
105779109,105779116
163734651,163734913
163734651,163834737
218016788,218121518
218016788,38688623
92755270,92755278
163734658,163734651
163734658,168175802
71428223,121849668
218016782,19170155
218016782,218121521
131617960,272328092
218016784,218121518
218016784,219436818
272316867,272452333
15251959,15861977
15251959,61430739
272762898,230393624
12679238,12786511
12679238,13904190
339086369,339089398
372530960,306127058
12679210,12679207
70791525,71770126
70791525,26015423
218291039,218291030
12401126,149158766
12401126,62890179
12401126,148561385
12401126,148566614
12401126,118134997
12401126,148562398
218555006,202817383
210504793,209836832
12679207,12783787
210504795,210504797
218291041,218291044
210504797,210505066
70791531,55483333
218291044,219544735
218291044,218660893
230422929,230468025
230422929,33654709
175500526,179149937
175500526,175775926
12679222,12679219
12679224,12806642
12679224,13401021
372530947,372551893
272316880,272528733
114498409,70047277
12679219,12788231
218291030,218291041
230540192,230516994
230540192,230539747
12679274,12679263
314825086,243647441
230540196,230540223
12679279,12801779
12679279,13367224
69753778,69753782
92059869,92512171
331537614,331559304
126842525,27666679
69753782,70450962
69753765,69753778
71703030,21263168
331537600,331582411
331537600,286183616
200665481,200970633
200665481,200990753
64161444,234896846
232900132,207407485
210504783,80064742
12679252,12785462
272316830,272492755
12679250,12679238
12679250,12987200
272145106,272467027
272145106,161272147
12679263,12792330
12679263,13333148
2194390,14096078
167077935,168115366
54741023,9006312
12679260,12679252
312898511,310517082
312898511,310494450
272316848,272339023
199287307,129543104
272145118,47719758
306161579,315785863
271326657,269905667
225333583,225883221
198743156,40190564
92070225,94824027
166073137,166073406
246057225,157071038
63474770,345343979
198743147,118382752
198743147,32691660
98652897,94283264
310499230,289583950
86583133,279003358
9463609,200622565
9463609,9311475
9463609,70245035
158319076,158319069
158319076,134443061
390350907,385897099
390350907,339065778
198743134,101525287
12679292,12679279
92084891,95592476
12679295,12780673
12679295,12987200
246096802,246096806
246096802,246132889
246096806,200675661
92084888,92084891
77600107,85254994
77600107,85020700
54780625,69347630
269168232,158489258
97111900,97393541
54741069,56373219
86583111,79852299
86583111,87657476
246096812,246096817
246096817,246024562
81149914,2739072
81149914,104059406
294317590,294591015
378233939,378316729
378233939,378408922
49798043,194344351
49798043,95763572
49798043,29976815
49798043,1314151
49798043,194342572
49798043,194342569
49798043,29976278
94194702,94492434
272762902,272762907
13430915,13431195
69728846,69983682
272762906,272762902
272762907,272763058
72862320,92084091
73431446,73431460
94194711,94621528
94169756,94447251
94169756,94315921
94169756,94444608
94169756,94459679
94169756,94451890
94169756,94454588
94169756,94300940
94169756,98491252
94169756,94694449
94169756,94171716
94169756,94318716
331562669,83049882
368813353,308007318
310103579,310472133
39313952,230437643
368813356,372686471
27834930,73293386
94576282,94832266
294210791,294249663
331537670,336477978
190930295,190930442
190930295,191115823
110051656,205248696
94576276,94671862
331537662,331559304
33703039,219541680
104659712,218286427
43123713,43537842
383006877,372786033
54716124,69266648
13851967,20548751
206222134,192431356
206222134,226889376
230515113,34074225
230515113,81098936
174776306,174776327
43123720,43396687
100670595,115603992
362992662,197982230
57659099,68706499
57659099,41160347
57659099,68705820
382885977,379928822
382885977,382885689
382885977,185513778
240643664,312814901
382885972,382886069
382885972,379928822
382885974,379590635
382885974,379928822
382885974,382886069
382885974,383089371
382885975,233691681
382885975,382886069
382885975,379928822
95552200,96349368
62327797,185164447
174776327,175486038
191800648,190448362
350056264,336728994
208924975,209804657
314825094,118688387
69714224,67572666
139259153,139259150
106637958,91722749
246503833,287885537
115185117,45371397
12572461,54090686
336432200,336432198
336432201,336432198
92491280,205337217
336432202,336432198
13248726,12780176
336432203,336432198
272723360,272723356
92491279,232401511
269455024,283173242
5294829,65784644
272723356,272726382
218016765,218263504
29065203,29065198
29065203,30060590
29065203,30151745
2351477,288442830
2351477,288454583
96674605,96960021
96674605,97445088
5519650,22837965
5519650,22837838
5519650,23232964
5519650,279834257
2615860,11306403
5519652,6870814
5519652,279053020
5519652,279187194
5519652,22837835
5519652,22838010
5519652,22837907
5519655,22837800
218016775,218016770
218016775,218264913
218016779,218121514
218016779,26181447
218016770,3856230
218016770,218122645
226441344,225015843
259366513,288717023
363522620,311110416
226441341,226441556
226441341,226441344
208910380,27653479
106780032,106780027
139259125,139258719
139259125,139199248
55863049,200993374
173522256,32137715
97243707,88642839
106780027,106780042
339650369,339650185
33453300,89913562
33453302,232448418
12572457,29850139
94194725,94504743
14932127,15984077
12572459,98610045
12572459,9904238
12572459,12572461
12572459,54090686
12572459,97725927
300590207,299185016
94155160,94155313
94155160,98773918
94194732,94579943
94194732,94194725
12572446,10763751
334794960,378498877
244694300,246156758
244694300,245236112
115895575,116898498
98613387,94679366
65677012,32089122
92309155,97086910
86583067,3402206
52393430,232431905
98902556,98978287
98902556,98978390
98902556,103724421
98902556,99153136
98902558,98978296
98902558,99153135
226441556,225928682
372530802,351545140
27663010,27571874
27663010,87078901
52143952,6553256
98902560,98902558
245238604,246131003
98902568,113616693
92598242,96365231
3889,3313464
3889,3315431
3889,4656419
3889,7066736
3889,3287409
3889,155787645
3889,2218993
3889,26115433
3889,4710507
3889,183452
3889,4620483
3889,21335993
3889,11698664
3889,155554019
3889,4646009
3889,75136455
3889,3294761
3889,155554176
3889,13224998
3889,155553249
3889,3309701
3889,9551
3889,50429923
3889,3304679
3889,4778990
3889,3304030
3889,155675917
3889,155390099
3889,38173991
3889,4608037
3889,155071266
3889,3298231
3889,3302275
3889,4654530
3889,11933160
3889,2206944
3889,724580
3889,3315609
3889,3287372
3889,155377928
3889,2262862
3889,3096027
3889,14350591
3889,10711115
3889,13226038
3889,110842065
3889,3286488
3889,3310312
3889,4625282
3889,3293433
226441566,35494122
70791449,72741461
226441569,226442166
226441569,225966368
98902571,98902568
29368933,30699343
98902573,108799061
138715370,225090648
16780529,2752466
16780529,230556023
385971698,383076763
385971698,380322446
248023843,108987494
31630166,97994298
70791439,73331130
70791439,71771432
378497540,378497544
68462266,68629335
68462266,42672937
378497544,167573521
3170350,373154246
3170350,373076344
3170350,10946618
3170350,306768589
3170350,373075966
306268505,308819308
376267592,282461600
376267592,376270499
98902589,99154498
385971694,379930427
385971694,385971698
163720373,123032420
163720373,163902737
206550981,331542436
31630158,31630166
196263904,158709149
90550190,113621801
155559562,152452277
140047778,383160454
155559565,152452277
155559568,78835248
98902513,111057168
98902513,99631437
240789712,244618056
98902517,99208625
98902517,98902513
98902519,99245152
98902519,99153129
147027853,21957808
121801020,121801018
312898658,310516021
312898658,310493432
549558,6418
549558,3646891
27677611,114655562
27677611,115214695
27677611,66665998
31380194,148612058
121551417,234890810
27663008,13355059
27663008,280133653
27663008,22837784
27663008,90716926
224764000,225907192
224764000,224764268
86583084,86593753
95698853,96365231
19263569,97499027
19263569,74105770
224764006,224764399
54309399,232010764
121801018,121886357
3409584,43560505
98902539,98902642
372530821,368817034
372530821,165218235
86583073,279053020
86583073,86583077
86583077,86583084
98902543,113919191
98902543,98902539
98902544,98902661
98902546,98902544
77600010,163824318
86740866,10694118
86740866,3375524
230647313,232443618
230647313,232904744
363233533,363343934
363233533,363322994
339072039,339072367
38901603,38901606
38901606,38901611
94419256,98743038
230647320,232438397
86740859,78162834
86740859,86743290
115920751,116119030
115920751,115041619
246057156,139264240
246057156,161974629
246057158,246057550
95698857,96365231
27545839,230408405
107588428,209532079
69596116,48083708
229634330,246152474
95277363,93705533
94419251,98800013
230647332,32477881
339072013,150667925
339072013,339107885
198322047,339059275
163734913,163835581
163734913,163734922
172032800,164676899
8857392,9490859
191224770,191224766
191224770,192078677
65388234,34119191
86740877,86740866
86740877,22837879
269168155,270342460
246057174,139264316
96688823,97481795
96688823,97482428
184747395,219425587
3566346,190440214
3566346,58114564
3566346,209905828
3566346,209801054
3566346,209836829
3566346,210497192
3566346,209923303
3566346,211181064
3566346,209844295
3566346,209905405
3566346,211171848
3566346,54268187
3566346,209723672
3566346,210662684
3566346,210660956
3566346,209924800
3566346,211119690
3566346,209964071
3566346,1788698
3566346,210602126
3566346,209810063
3566346,209556175
3566346,209805526
3566346,209822489
3566346,210602142
3566346,209837589
17706893,4596043
191224766,98096147
209033101,209826974
156153945,181150930
200665101,70245040
38901611,38901613
86740880,12164535
38901613,34859426
86740881,86740880
73406856,73405590
378497516,378497518
73406857,73405590
378497518,256390199
156153926,163080990
195550633,195438424
225019656,225018913
225019658,225018913
225019658,226720737
224739029,224966531
121262636,9001456
121262636,118263507
156153934,156153945
202932695,199949376
225019651,225018913
225019651,226444932
299080479,300773171
299080479,300413520
92084506,92084509
115724195,115723984
92084509,92084512
20408922,196089283
156153918,181151715
156153918,144222669
163734928,163741220
121262647,121801433
121262647,121262651
12836412,40053841
163734922,163735631
163734922,163838939
121262643,121262647
225715284,225711361
225715284,225712964
225715285,225711361
113690292,113850211
113690292,101309169
225715286,225711361
70766407,71456719
70766407,74461509
68765600,75981951
225715281,225711361
225715282,224682336
225715282,225711361
225715283,225711361
92084520,92084689
121262656,87917111
156153910,156153918
156153910,144222669
3880150,12971085
209047703,209071189
121262651,121262656
209047708,210504795
209047708,210570269
65873914,72021278
225715274,225711361
225715275,225711361
225715276,225711361
225715277,225711361
225715278,225711361
225715279,225711361
230515089,232053373
230515089,182448768
238196395,241566340
225019665,224204320
225019665,225018913
282419902,383011607
91647948,118858205
225019668,225018913
225715271,225711361
225715272,226611450
225715272,225711361
76480247,200703558
92084512,92084514
225019660,226450180
225019660,225018913
92084514,50607653
137898980,310128526
225019662,226450887
225019662,225018913
206550923,339264938
121262662,121262664
121262662,121445383
121262664,121262851
7642410,71795458
7642410,71459266
13366150,12785698
94155463,94155655
87402418,86737403
234184634,234854653
155452699,15424857
68608756,34179124
336432170,332943585
336432170,336432167
68608759,68608761
219964187,49414972
336432166,336432161
336432166,337089679
27531277,87761267
68608761,35765624
336432198,336432204
331562312,336714137
331562312,212802092
331562312,336710597
102008801,114446981
155741876,156084442
15069406,15883271
336471764,333528791
336432191,336432197
378169254,378169418
378169254,378186046
121262624,88490016
294210669,294210791
236123655,234626503
121262621,121262624
84316588,84460750
113822555,99912489
113822555,107792272
84316582,84460750
87823193,87823688
312502764,312502768
244694276,245251166
244694276,246153857
148845691,148845696
89054177,121481797
87823196,230547977
234159633,16645563
234159633,234252357
138911975,379277710
87823197,230547965
3762827,73255316
312502768,66039223
234159635,234832102
148845696,148845907
94312498,94313561
155741886,156086780
157946974,157957278
246057197,157070767
246057199,246057197
246057199,179460206
115920677,115723285
244694282,71076919
244694282,246160931
312502750,312502758
312502758,312502764
271326795,276992449
36685785,157579982
42265221,155445730
69728999,69729003
163866795,163866804
89054154,225320725
89054154,225859042
312502746,312502750
312502746,311374883
378194239,378409192
378194239,378286709
339111819,339111814
269168196,269168524
188691533,157930723
310681616,312074267
7642403,72743120
7642403,72360035
7642403,72748868
7642403,72653864
339111814,339112103
3762812,73000655
3762812,34198357
3762812,73003335
3762812,60653746
216496491,55217726
244694267,245791760
94155455,94155463
47581276,234896846
68608704,68705820
68608704,66693765
232650109,232956040
232650109,232675741
98652906,94296783
84316549,294598767
84316549,84715186
156535096,272153299
73103080,73298333
73103080,73299422
117834270,149569098
32477881,232923556
32477882,232951115
98652900,94283264
32477883,232952604
32477874,62278112
32477875,230594664
32477876,232039878
32477877,230442136
32477878,230647738
32477879,233508045
97072072,97737933
43098012,43097991
134860979,225711361
43098015,43098727
43098015,43388675
355215463,192669897
33428696,209710576
2865010,230528697
43123412,43382580
209718715,209921231
148831001,22852661
93757503,84869137
93757503,117049703
93757503,248558280
69621550,67645469
89921710,88117529
98652926,5004224
94312489,94312498
355215472,236743303
152391750,4913616
72705513,232383239
355215474,355238055
72705514,230645539
294460108,346397356
294460108,338999725
294460108,312117369
294460108,205969019
94312484,94312489
108578383,99280638
47424396,86810826
549581,155070454
549581,155553341
549581,3286488
549581,3283565
549581,3376204
71467736,71777203
71467736,21456350
15069499,15883955
98652919,26729401
14932456,86620793
63185463,39498576
63185467,190949299
63185469,191140624
98652912,94297708
98652913,94297708
32477885,230540700
241501980,244666588
241501980,241536399
63185471,191141307
43123438,43401233
196094084,66446894
8989134,8989128
8989134,9008028
234170023,234564954
163063970,226296244
298682651,298682400
68462176,42671149
39577760,43008954
94733953,98710965
94733953,94732107
94733953,98711851
94733953,19946345
94733953,94733964
94733953,94694449
73142644,73142636
382885687,381707893
382885689,382885687
382885689,380180315
119550963,58220888
98902477,99211619
73142649,73429588
98902479,98902477
8989131,8989128
8989131,121520144
240789678,245664308
87823118,71193266
29065581,224036215
8989133,8991349
8989133,8989128
84316515,84460750
298682644,298682400
327713311,33091092
298682649,298682400
298682649,298967980
265129246,294582201
155716860,78835248
98902481,99152466
234566367,1991249
390061638,390545662
209033088,8203186
234566369,1991249
234566369,235011536
240789680,238247599
98902484,98902481
240789681,155691164
98902486,99152868
98902486,99245166
97086655,92309155
382885690,382965463
382885690,382885687
382885690,378670915
382885692,379928822
382885692,382885687
382885692,382886069
382885692,382880619
382885692,364746642
382885692,160458192
210622350,211113413
210622350,210365171
234566370,1991249
190905384,135084501
201038180,108173434
346100191,399972831
346100191,346100196
8989129,8989128
8989129,118269954
27531298,53212247
75729094,94553902
56601883,115122881
43123486,43329887
190905373,191244119
288593952,288740971
59796703,3135990
94733964,98715752
94733964,98718832
94733964,98717771
94733964,98714477
94733964,98714597
73142636,73659066
73142636,73335280
9149183,22838027
9149183,16109862
9149183,22837784
9149183,22837788
9149183,22837842
346100196,399972831
346100196,346100222
87823127,87823667
282537659,287070581
8989122,121540197
8989122,8989113
68462133,68629438
68462133,68462143
298946653,299047100
98902437,99677327
98902437,99152971
98902438,99214175
98902438,99212247
272723088,212007769
13234262,13234687
13234262,13384020
45786356,69742740
348358876,372879558
98902442,98902438
272723092,272723088
219413640,218656365
219413640,36364435
16741015,43643713
16741015,43356072
16741015,43189153
148542029,148542026
96674330,97424376
96674330,97445088
13273853,13409524
18682258,198744514
4975385,94333210
4975385,92120886
4975385,92120887
4975385,94650084
4975385,94302237
4975385,94285398
4975385,91887838
4975385,93872347
4975385,91861504
4975385,94302235
4975385,99133405
4975385,92205026
4975385,91982893
4975385,793584
4975385,94366286
4975385,73077442
4975385,91861116
4975385,92704283
4975385,99118726
4975385,91982897
4975385,94382517
269587095,269905669
148542026,149763270
245420853,246399123
245420853,245420850
378497654,378498194
175475234,226550315
92084689,92084704
92084689,94824450
175475239,45328541
175475239,175803303
98902453,99152995
224671698,224671429
86715918,5580088
86715918,8748612
218594859,246129196
218594859,22449060
218594859,244778566
94312514,91961924
178959446,179075224
178959446,179113155
178959446,179228378
148542035,149570735
87020702,88136728
87020702,279520371
87020702,279521061
87020702,87038444
87020702,16996183
148542030,150403732
314418834,242515951
314418834,309959486
38587424,12678134
12679472,12679295
193598630,179039996
310524769,310524764
12679479,13366104
150939325,175421320
279453730,87031733
279453730,87028031
8989093,8989090
8989093,9006044
8989094,8989090
8989094,121485947
175489890,175490016
8989097,121486713
8989097,8989090
8989098,118274433
8989098,8989090
157275929,67363806
67604028,64189015
67604028,55113663
270625550,288560748
198782990,198782996
8896852,121800922
269587087,269905669
198782996,74554450
96963337,97395586
98902400,99989566
376253057,379595053
376253057,376253309
98902405,99152911
84776854,294602321
163720276,163900664
376228080,383544946
395313180,391034550
87666046,86877054
163720270,163720276
191381463,191216749
114641619,28228839
114641619,116073592
269587057,269905669
100067194,100067099
100067195,100067099
100067196,100067099
100067196,100440418
99314755,100049102
99314755,115103651
86715955,87741966
68462109,43148235
68462109,68462120
155545034,156030997
55877950,195420296
114641621,115270578
114641621,43362882
94023545,94023895
17706968,115214695
98902423,99211619
98902423,99245166
310524771,310524764
310524771,310511474
310524772,310524764
98902427,99152900
98902427,99677327
163852057,163852015
98495065,99230251
272170327,272504727
272170327,272312273
73274570,73274568
158608619,158617369
158608619,158608610
339111849,339111959
339111849,339111963
272170329,272526830
119657560,18434248
23612274,217133736
23612274,200990304
299476136,272990831
299476136,273662527
150964325,298964263
73274568,73274571
209704094,210644780
376267650,383445889
376267650,339203907
163852060,163852015
299476122,299476127
5530134,279081411
299476127,272479495
299476127,296925540
5530135,87713657
209704083,210386265
209704083,209492514
106348309,106713427
191643642,204397693
12679498,12790836
69043540,339975977
69043540,339289128
71703284,121711484
272170302,272312273
77168425,198781631
106769819,106769822
225019591,225018913
92059654,94303454
198782985,198782990
50875717,209522305
376253004,376253057
210504528,210504783
33888861,73253674
106769822,106770174
33888865,51773862
382885833,382885830
225019587,224246446
225019587,225018913
225019588,225019665
225019588,225018913
73274580,73275845
232072340,230405994
232072340,232353291
376267633,382907505
382885830,380211670
127832965,94102631
226441607,152001950
226441607,225293472
95277222,101430685
92059660,91934616
3880017,232438397
39024362,37422384
331694215,363657691
232639918,231573972
91961924,32362733
91961924,43957062
91961924,15444321
144334169,225341758
3880029,3880150
3880029,2850007
91961928,94598603
226587886,216238189
226587886,179647372
94287097,94286792
94287097,98648195
113954961,100468040
19987802,98034161
94287095,94286792
94287095,91934616
94287096,94286792
94444322,19946345
94444322,94664442
232468003,182448481
232468003,230537142
13366131,2402310
232468004,182448481
232468004,232395869
91961940,94890401
91961940,91934616
111712946,121492596
272170333,272170329
232639903,231429973
13366135,12786381
22203150,6244017
232047414,232047419
232047414,232432347
232047417,232014513
232047417,232047414
94194946,94334055
218423469,219565918
29222664,29222658
29222664,29919223
331537443,332690012
331537443,121695048
346114853,346418093
175095968,175095974
94576047,8623152
272170267,189929916
94194923,94331506
11439534,71670719
68633801,43496493
54741311,67548734
13366047,39006969
94155364,94498899
174776523,174776654
331562444,162268433
163852004,163852000
156114537,225691315
94194933,94194923
174776515,174776517
174776517,174776523
209718691,48130388
209718691,210764230
16138197,16715515
209718694,209718691
209718694,209918677
362992490,363142937
362992490,82865807
2747803,74075669
2747803,209843368
2747803,56133195
2747803,209836829
2747803,209807082
2747803,209895040
2747803,209201965
2747803,62537081
2747803,209796187
2747803,209556175
2747803,210570551
2747803,211171848
2747803,54268187
2747803,209751853
2747803,209837589
2747803,209979041
2747803,209910447
2747803,8182823
2747803,210570269
2747803,209865519
2747803,5272053
2747803,210662684
2747803,209922538
2747803,209485610
2747803,209844295
2747803,209982240
2747803,209833927
2747803,209964071
2747803,209980235
2747803,209810063
2747803,210602134
2747803,209201973
2747803,209723672
2747803,211169310
2747803,211152178
2747803,210645259
2747803,209678295
2747803,210623398
2747803,210488058
2747803,209703166
2747803,109097911
273279265,275203994
163852015,163864986
94194900,94194889
94194900,94769285
94194903,94499487
70370697,70370656
70370697,100859297
198743437,198743669
38744659,30916779
354225116,380138466
331562466,331562471
288554204,200187438
130627156,178671562
198743421,200067272
